EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	ST7[arb.u.]	ST8[arb.u.]	ST9[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
66.226	441.812315371856	-6.04696335	-6.22774466	-5.94054118	-5.90233833	-6.12336903	-6.51426593	-6.03536607	-6.3164298	-6.28982424	-6.5797565	-6.197659909	-0.43676773837632	
66.242	441.91905588232	-7.09140164	-6.80215157	-6.81170234	-6.43854244	-6.02308659	-6.30960786	-5.91530002	-5.49711537	-6.63774295	-6.12473342	-6.36513842	-0.448570452876655	
66.258	442.025796392783	-6.30073934	-6.32052296	-6.4105725	-5.38455345	-6.40647935	-4.93362353	-6.51426593	-6.55451534	-5.81638196	-5.85731357	-6.049896793	-0.426354427071994	
66.274	442.132536903247	-5.17307347	-5.76521744	-6.05310312	-5.095303402	-5.93508363	-5.83957653	-6.39624644	-5.37500274	-5.49302223	-5.44253992	-5.6568168922	-0.398652903949647	
66.29	442.23927741371	-5.91120686	-5.63355409	-5.59262248	-6.52518102	-6.609773	-6.34439974	-6.51085496	-5.8627711	-6.51290153	-6.68686089	-6.219012567	-0.438272524421362	
66.306	442.346017924173	-5.47050982	-6.13974168	-6.00603176	-5.98965911	-5.59739784	-5.42753164	-6.35395045	-6.11927584	-6.1909062	-5.82115732	-5.911616166	-0.416609375293927	
66.322	442.452758434637	-7.26740756	-6.50949056	-6.08448401	-6.52381662	-7.16439636	-5.72223924	-6.51631252	-6.23047343	-6.69572941	-5.87709718	-6.459144689	-0.455195357454704	
66.338	442.5594989451	-5.73588313	-5.52440312	-6.27890917	-5.97328644	-6.3996574	-6.41330128	-5.90302054	-6.28163793	-6.59681133	-6.11040737	-6.121731771	-0.431416854074774	
66.354	442.666239455564	-6.23251998	-6.45082192	-6.1383773	-5.99579884	-6.89220115	-6.86013804	-5.54145797	-5.4329892	-6.83694347	-6.09471691	-6.247596478	-0.44028691861929	
66.37	442.772979966027	-6.91744228	-5.390011	-7.18622654	-6.45969045	-6.79532965	-7.10027013	-6.44672873	-6.4330849	-6.20250348	-6.25025704	-6.51815442	-0.459353950718855	
66.386	442.87972047649	-7.01022062	-5.38932881	-6.34644632	-6.51290155	-6.05583187	-6.94336565	-6.211372	-6.24479948	-5.90097394	-6.16020747	-6.277544771	-0.442397464921265	
66.402	442.986460986954	-7.07502901	-6.46378366	-6.70323352	-5.80751343	-6.96860684	-6.58248529	-7.03887274	-5.75430234	-6.35736141	-6.62546348	-6.537665172	-0.460728932107022	
66.418	443.093201497417	-6.48766038	-7.12687571	-6.37441625	-6.48015625	-6.08721279	-5.9159822	-6.295964	-7.48229853	-5.61991021	-6.41603005	-6.428650637	-0.453046349874177	
